2002-11-25,1
2003-01-14,1
2003-02-11,1
2003-02-13,1
2003-03-19,1
2003-05-20,1
2003-07-07,1
2003-10-27,1
2003-11-03,1
2003-11-17,1
2003-11-19,1
2003-12-18,1
2004-01-06,1
2004-01-20,1
2004-01-28,1
2004-02-02,1
2004-02-09,1
2004-03-03,1
2004-03-08,1
2004-03-22,1
2004-03-24,1
2004-09-07,1
2004-10-26,1
2004-10-28,1
2004-12-20,1
2005-01-11,1
2005-01-12,1
2005-03-24,1
2005-07-21,1
2005-10-17,1
2005-11-07,1
2005-11-23,1
2005-12-15,1
2006-01-25,1
2006-02-06,1
2006-03-07,1
2006-03-14,1
2006-03-27,1
2006-05-17,1
2006-07-03,1
2006-07-11,1
2006-10-10,1
2006-11-27,1
2006-12-12,1
2007-03-05,1
2007-03-19,1
2007-03-29,1
2007-05-16,1
2007-05-24,1
2007-06-18,1
2007-10-15,1
2007-12-06,1
2007-12-13,1
2008-03-31,1
2008-11-04,1
2009-01-14,1
2009-06-25,1
2009-07-06,1
2009-07-09,1
2009-07-21,1
2009-10-12,1
2009-10-19,1
2009-10-20,1
2009-10-26,1
2009-11-02,1
2009-11-09,1
2009-11-12,1
2009-12-01,1
2009-12-07,1
2010-01-05,1
2010-01-07,1
2010-01-13,1
2010-01-21,1
2010-02-04,1
2010-02-22,1
2010-03-08,1
2010-03-16,1
2010-03-30,1
2010-04-06,1
2010-05-26,1
2010-06-16,1
2010-06-17,1
2010-06-21,1
2010-07-20,1
2010-07-26,1
2010-09-06,1
2010-09-07,1
2010-09-08,1
2010-09-13,2
2010-10-18,1
2010-10-26,1
2010-10-27,1
2010-11-02,2
2010-11-17,1
2010-11-18,1
2010-12-02,1
2010-12-20,1
2011-01-10,1
2011-01-11,1
2011-01-17,1
2011-01-20,1
2011-01-26,1
2011-02-08,1
2011-02-09,1
2011-02-14,1
2011-02-15,1
2011-02-17,1
2011-03-02,1
2011-03-24,1
2011-03-28,1
2011-03-31,1
2011-04-04,1
2011-04-05,2
2011-04-26,1
2011-05-10,1
2011-05-18,1
2011-05-19,1
2011-05-23,1
2011-05-24,1
2011-06-07,1
2011-06-14,1
2011-06-16,2
2011-06-20,1
2011-06-28,1
2011-06-30,1
2011-07-12,1
2011-07-14,1
2011-09-15,1
2011-10-11,1
2011-10-31,1
2011-11-03,1
2011-11-10,1
2011-11-15,1
2011-12-08,2
2011-12-19,1
2012-01-23,1
2012-01-24,1
2012-02-02,1
2012-02-07,1
2012-02-09,1
2012-02-20,1
2012-02-28,1
2012-03-12,1
2012-03-22,1
2012-04-19,1
2012-04-24,1
2012-04-30,2
2012-05-21,1
2012-06-11,1
2012-06-14,1
2012-06-18,1
2012-06-21,1
2012-06-25,1
2012-07-12,1
2012-07-16,1
2012-07-17,1
2012-09-03,1
2012-09-10,1
2012-09-17,1
2012-09-18,1
2012-10-15,2
2012-10-18,1
2012-10-29,1
2012-10-30,1
2012-11-12,1
2012-11-19,1
2012-11-22,1
2012-12-10,2
2013-01-08,2
2013-01-14,1
2013-01-17,1
2013-01-22,1
2013-01-29,1
2013-02-04,1
2013-02-13,1
2013-02-14,1
2013-02-25,1
2013-03-04,1
2013-03-05,2
2013-03-11,1
2013-03-14,1
2013-03-19,1
2013-03-25,1
2013-04-15,1
2013-05-09,1
2013-05-21,1
2013-06-06,1
2013-06-10,1
2013-06-17,1
2013-07-12,1
2013-09-04,1
2013-09-05,1
2013-09-10,1
2013-10-17,1
2013-10-23,1
2013-11-12,1
2013-11-19,1
2013-11-20,1
2013-11-27,2
2013-11-28,1
2013-12-04,1
2013-12-10,1
2013-12-16,1
2013-12-18,1
2014-01-07,1
2014-01-14,1
2014-01-20,1
2014-02-03,1
2014-02-10,1
2014-02-13,1
2014-02-26,1
2014-03-24,1
2014-03-31,1
2014-04-01,1
2014-04-08,1
2014-04-10,1
2014-05-01,1
2014-05-06,1
2014-05-12,1
2014-06-09,1
2014-06-12,1
2014-06-16,1
2014-06-24,1
2014-07-01,1
2014-07-09,1
2014-07-17,1
2014-09-02,1
2014-09-12,1
2014-10-16,1
2014-10-22,1
2014-10-23,1
2014-10-30,1
2014-11-05,1
2014-11-10,1
2014-11-11,1
2014-11-17,1
2014-11-27,1
2014-11-28,1
2014-12-08,1
2014-12-10,1
2014-12-15,2
2014-12-18,2
2015-01-05,1
2015-01-07,1
2015-01-12,1
2015-01-13,1
2015-01-21,1
2015-01-22,1
2015-01-27,1
2015-01-28,1
2015-02-02,1
2015-02-09,1
2015-02-23,1
2015-02-25,1
2015-03-02,1
2015-03-03,2
2015-03-19,1
2015-03-24,1
2015-03-26,3
2015-05-28,1
2015-06-01,1
2015-06-04,1
2015-06-08,1
2015-06-24,1
2015-06-25,1
2015-07-06,1
2015-07-20,1
2015-07-21,1
2015-10-12,2
2015-10-13,2
2015-10-15,1
2015-10-20,1
2015-10-22,1
2015-10-26,2
2015-10-28,1
2015-11-03,2
2015-11-05,2
2015-11-09,1
2015-11-18,1
2015-11-20,2
2015-11-30,1
2015-12-03,1
2015-12-10,1
2015-12-14,1
2015-12-16,1
2016-01-11,2
2016-01-19,1
2016-01-20,2
2016-01-25,2
2016-01-26,1
2016-01-28,2
2016-01-29,2
2016-02-01,1
2016-02-02,2
2016-02-04,1
2016-02-08,1
2016-02-11,1
2016-02-23,2
2016-02-25,1
2016-02-29,2
2016-03-01,1
2016-03-02,2
2016-03-07,1
2016-03-09,1
2016-03-10,1
2016-03-14,1
2016-03-15,1
2016-03-21,1
2016-03-24,1
2016-04-18,1
2016-04-20,1
2016-04-25,1
2016-04-26,1
2016-04-28,1
2016-05-03,2
2016-05-04,1
2016-05-09,1
2016-05-10,1
2016-05-11,1
2016-05-12,1
2016-05-19,1
2016-05-23,2
2016-05-24,1
2016-05-26,1
2016-06-06,1
2016-06-07,1
2016-06-08,1
2016-06-09,1
2016-06-13,1
2016-06-14,1
2016-07-04,2
2016-07-05,1
2016-07-11,2
2016-07-19,1
2016-07-20,1
2016-07-21,1
2016-09-05,1
2016-09-06,1
2016-09-08,1
2016-09-14,1
2016-10-10,1
2016-10-17,2
2016-10-18,1
2016-10-19,1
2016-10-21,1
2016-10-25,1
2016-10-31,1
2016-11-01,1
2016-11-03,1
2016-11-04,1
2016-11-08,1
2016-11-14,1
2016-11-15,1
2016-11-16,1
2016-11-17,1
2016-11-21,1
2016-11-25,1
2016-11-28,1
2016-11-29,1
2016-12-02,1
2016-12-05,1
2016-12-06,2
2016-12-12,3
2016-12-20,1
2017-01-09,1
2017-01-10,1
2017-01-11,1
2017-01-18,1
2017-01-23,1
2017-01-26,1
2017-01-30,1
2017-02-09,1
2017-02-20,1
2017-02-23,1
2017-02-27,1
2017-02-28,2
2017-03-06,1
2017-03-07,1
2017-03-15,2
2017-03-20,1
2017-03-21,1
2017-03-22,1
2017-03-27,1
2017-04-20,1
2017-04-24,1
2017-06-27,1
2017-07-03,1
2017-07-04,1
2017-07-05,1
2017-07-06,2
2017-07-17,1
2017-07-18,1
2017-07-19,2
2017-07-20,1
2017-09-05,1
2017-09-06,1
2017-09-14,1
2017-10-10,1
2017-10-11,1
2017-10-12,1
2017-10-16,2
2017-10-19,1
2017-10-24,1
2017-10-26,1
2017-10-30,1
2017-10-31,1
2017-11-02,1
2017-11-06,1
2017-11-07,3
2017-11-13,1
2017-11-15,1
2017-11-16,1
2017-11-20,1
2017-11-23,1
2017-11-27,1
2017-11-28,1
2017-11-29,1
2017-11-30,1
2017-12-04,1
2017-12-05,1
2017-12-07,1
2017-12-12,1
2018-01-08,2
2018-01-09,1
2018-01-11,1
2018-01-15,1
2018-01-22,1
2018-01-23,1
2018-01-24,1
2018-01-29,3
2018-01-30,2
2018-02-01,1
